,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,19.0,1.0,22.0,1.0,4.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1675.0,1.0,0.0,1.0,19.0,3.0,4.0,80.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1,34.0,1.0,19.0,3.0,1.0,0.0,1.0,4.0,2.0,4.0,0.0,0.0,1.0,5304.0,8.0,0.0,1.0,13.0,3.0,2.0,80.0,0.0,9.0,3.0,2.0,5.0,2.0,0.0,4.0
2,29.0,1.0,24.0,2.0,4.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,2439.0,1.0,0.0,1.0,24.0,4.0,2.0,80.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0
3,32.0,1.0,7.0,2.0,4.0,0.0,1.0,3.0,2.0,3.0,0.0,1.0,0.0,4883.0,1.0,1.0,0.0,18.0,3.0,1.0,80.0,1.0,10.0,3.0,3.0,10.0,4.0,1.0,1.0
4,20.0,1.0,10.0,1.0,4.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1009.0,1.0,0.0,1.0,11.0,3.0,4.0,80.0,0.0,1.0,5.0,3.0,1.0,0.0,1.0,1.0
5,26.0,1.0,17.0,4.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,2741.0,0.0,0.0,1.0,11.0,3.0,2.0,80.0,1.0,8.0,2.0,2.0,7.0,7.0,1.0,0.0
6,31.0,1.0,20.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,4559.0,3.0,0.0,1.0,11.0,3.0,3.0,80.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0
7,31.0,1.0,8.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1261.0,1.0,1.0,0.0,12.0,3.0,3.0,80.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0
8,46.0,1.0,9.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,9619.0,1.0,1.0,0.0,16.0,3.0,4.0,80.0,0.0,9.0,3.0,3.0,9.0,8.0,4.0,7.0
9,28.0,1.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,3464.0,5.0,0.0,1.0,13.0,3.0,4.0,80.0,0.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0
10,22.0,1.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,3894.0,5.0,1.0,0.0,16.0,3.0,3.0,80.0,0.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0
11,23.0,1.0,7.0,3.0,3.0,0.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,2275.0,1.0,0.0,1.0,21.0,4.0,2.0,80.0,1.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0
12,29.0,1.0,23.0,1.0,4.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,7336.0,1.0,1.0,0.0,13.0,3.0,1.0,80.0,1.0,11.0,3.0,1.0,11.0,8.0,3.0,10.0
13,24.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,4577.0,9.0,1.0,0.0,14.0,3.0,1.0,80.0,0.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0
14,42.0,1.0,19.0,3.0,3.0,0.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,2759.0,6.0,0.0,1.0,12.0,3.0,4.0,80.0,0.0,7.0,2.0,3.0,2.0,2.0,2.0,2.0
15,23.0,1.0,9.0,3.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1790.0,1.0,1.0,0.0,19.0,3.0,1.0,80.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0
16,58.0,1.0,7.0,4.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,10008.0,7.0,0.0,1.0,14.0,3.0,4.0,80.0,0.0,31.0,0.0,2.0,10.0,9.0,5.0,9.0
17,28.0,1.0,2.0,4.0,3.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,4382.0,6.0,1.0,0.0,17.0,3.0,4.0,80.0,0.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0
18,31.0,1.0,29.0,2.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,3479.0,0.0,1.0,0.0,11.0,3.0,2.0,80.0,0.0,6.0,2.0,4.0,5.0,4.0,1.0,4.0
19,19.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,2564.0,1.0,1.0,0.0,12.0,3.0,3.0,80.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0
20,33.0,1.0,9.0,4.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,8224.0,0.0,0.0,1.0,17.0,3.0,1.0,80.0,0.0,6.0,3.0,3.0,5.0,2.0,0.0,3.0
21,35.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,2074.0,1.0,0.0,1.0,12.0,3.0,4.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0
22,35.0,1.0,12.0,4.0,4.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,1.0,4581.0,3.0,0.0,1.0,24.0,4.0,1.0,80.0,0.0,13.0,2.0,4.0,11.0,9.0,6.0,7.0
23,28.0,1.0,13.0,2.0,4.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,9854.0,3.0,0.0,1.0,11.0,3.0,4.0,80.0,0.0,6.0,0.0,3.0,2.0,0.0,2.0,2.0
24,49.0,1.0,11.0,3.0,3.0,1.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,7654.0,1.0,1.0,0.0,18.0,3.0,1.0,80.0,2.0,9.0,3.0,4.0,9.0,8.0,7.0,7.0
25,47.0,1.0,27.0,2.0,2.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,1.0,6397.0,4.0,0.0,1.0,12.0,3.0,4.0,80.0,0.0,8.0,2.0,3.0,5.0,4.0,1.0,3.0
26,31.0,1.0,3.0,3.0,4.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,4084.0,1.0,1.0,0.0,12.0,3.0,1.0,80.0,0.0,7.0,2.0,1.0,7.0,2.0,7.0,7.0
27,28.0,1.0,24.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,8722.0,1.0,1.0,0.0,12.0,3.0,1.0,80.0,0.0,10.0,2.0,2.0,10.0,7.0,1.0,9.0
28,26.0,1.0,25.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2293.0,1.0,1.0,0.0,12.0,3.0,3.0,80.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0
29,25.0,1.0,3.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,4031.0,5.0,1.0,0.0,13.0,3.0,3.0,80.0,1.0,6.0,5.0,3.0,2.0,2.0,0.0,2.0
30,49.0,1.0,28.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,4284.0,3.0,1.0,0.0,20.0,4.0,1.0,80.0,0.0,20.0,2.0,3.0,4.0,3.0,1.0,3.0
31,26.0,1.0,29.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,4969.0,8.0,1.0,0.0,18.0,3.0,4.0,80.0,0.0,7.0,6.0,3.0,2.0,2.0,2.0,2.0
32,30.0,1.0,8.0,3.0,3.0,1.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2180.0,6.0,1.0,0.0,11.0,3.0,3.0,80.0,1.0,6.0,0.0,2.0,4.0,2.0,1.0,2.0
33,38.0,1.0,2.0,3.0,3.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,4855.0,4.0,1.0,0.0,11.0,3.0,1.0,80.0,2.0,7.0,2.0,3.0,5.0,2.0,1.0,4.0
34,22.0,1.0,7.0,1.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,2472.0,1.0,0.0,1.0,23.0,4.0,1.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0
35,26.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2042.0,6.0,0.0,1.0,14.0,3.0,2.0,80.0,1.0,6.0,2.0,3.0,3.0,2.0,1.0,2.0
36,37.0,0.0,3.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,4107.0,3.0,1.0,0.0,15.0,3.0,1.0,80.0,0.0,8.0,3.0,2.0,4.0,3.0,0.0,1.0
37,26.0,0.0,4.0,2.0,3.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,2875.0,1.0,0.0,1.0,20.0,4.0,2.0,80.0,0.0,8.0,2.0,2.0,8.0,5.0,2.0,2.0
38,31.0,0.0,1.0,4.0,3.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,4345.0,0.0,1.0,0.0,12.0,3.0,4.0,80.0,1.0,6.0,2.0,3.0,5.0,4.0,1.0,4.0
39,43.0,0.0,14.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,17159.0,6.0,1.0,0.0,24.0,4.0,3.0,80.0,1.0,22.0,3.0,3.0,4.0,1.0,1.0,0.0
40,42.0,0.0,2.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,4841.0,4.0,1.0,0.0,14.0,3.0,2.0,80.0,1.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0
41,32.0,0.0,7.0,3.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0,0.0,2794.0,1.0,1.0,0.0,20.0,4.0,3.0,80.0,0.0,5.0,3.0,1.0,5.0,1.0,0.0,3.0
