"target_id","exp_cnt","click_cnt","image_text_price",
"00051c33-b165-4af6-8190-7eda03220027000","83","2","30.0000",
"00F283538547BA0AE050A8C00F017471000","61","1","30.0000",
"0186a55d-a22c-4e6f-ba19-cf771665157d000","649","35","50.0000",
"019c7f7b-aaf6-429e-98d7-c8e772ffcf08000","29","","10.0000",
"0211a2d9-0b9c-40ef-bd92-ef69929945a0000","109","2","30.0000",
"02368c87-e2f4-4ff9-9794-cafa22109bc5000","16","2","",
"023699c6-3ecf-4e39-9bdd-054485fdc469000","21","1","20.0000",
"0238b505-335c-4121-9638-e1513331af28000","18","1","10.0000",
"027a5103-ad44-4974-b5c2-f33941a9b55e000","16","","30.0000",
"0344eae8-0911-4bda-9682-1315493dcfb8000","275","6","30.0000",
"03C84597591F1784E0530F01A8C0DDC0000","26","3","30.0000",
"03C8459761851784E0530F01A8C0DDC0000","70","6","20.0000",
"03c26763-007c-4960-8d3a-4f0cb326337e000","27","1","20.0000",
"041bad7e-f78b-4b1c-becd-0ed74882ffd0000","69","1","30.0000",
"04402b02-d7f0-41cf-a100-8f442a325d7a000","81","","50.0000",
"05027ba5-9da4-4b98-9496-70bacb54cad2000","206","3","28.0000",
"05996eb4-0b43-4ad5-a6d5-42b5dcfe8cb1000","227","10","360.0000",
"062d4c15-d1d1-4277-9e19-025b46853fea000","150","7","49.0000",
"0650e69c-52b3-40af-8509-993e3567a26a000","217","12","50.0000",
"06878ced-9f54-47a5-84b4-ade51396814f000","23","2","20.0000",
"07c5abb2-a457-4947-9a14-4d46e02416e7000","61","2","20.0000",
"088a9936-ca2d-4f22-b230-325224d680a0000","42","1","15.0000",
"0923e2a0-4b9f-42ab-97f2-3bac154c1e57000","49","2","30.0000",
"0999a5c4-a3e5-4ea7-ba5a-24fe0e7bbcae000","12","2","30.0000",
"09a2f499-bedc-4d4b-8322-e08be1e71104000","157","3","30.0000",
"0a2b83d6-6d75-4213-b90b-26e6b9e61cf7000","52","4","50.0000",
"0a537e00-5a3c-43b6-9b7f-fbfc90d56a2f000","13","1","20.0000",
"0a785c6d-3b08-4c81-a767-cec75ed02b40000","1008","67","200.0000",
"0b34b2c2-39d4-4c7d-8851-1d95ae88d479000","26","","10.0000",
"0bc16d4a-6a3d-40e7-a08f-a0f6c8acdd63000","19","","",
"0cf406f5-3381-4816-b673-5c7dab436bf8000","15","","20.0000",
"0d472087-0404-467d-b7c2-78f63ed5f241000","12","1","",
"0de8e7a3-c9d3-4435-89f9-0f31b03aff23000","14","","20.0000",
"0e367c69-9788-4841-9add-69cdba290510000","51","","30.0000",
"0e4869fa-5095-489e-b59a-7de72101ff33000","6391","344","199.0000",
"0ebef1a7-6f95-49c6-87d0-bee5cb68be2a000","475","13","300.0000",
"0f2d1442-93f5-44a9-a8c3-c614fe8fffc5000","43","4","30.0000",
