order_id,user_life_cycle_type,user_id,Count,actually_paid,user_mod_100
3e48ygef8u210222235047724,,"149,314,231",1,40,31
m0wpvvtigy210222223240983,,"149,308,608",1,30,8
hu4lmaqgif210222200927262,,"149,296,028",1,100,28
6xhp108i7h210222152139885,,"149,277,622",1,200,22
yrf5e1zxw7210222153934719,,"149,276,364",1,398,64
s3d82h5pl7210222143508356,,"149,272,528",1,10,28
jkegjj5zqs210222134429278,,"149,269,042",1,50,42
9vm3ablhrj210222130229633,,"149,263,693",1,100,93
v28uv6e54a210222122116496,,"149,263,326",1,120,26
c3z74ijshk210222120012500,,"149,260,111",1,60,11
9wrp83l4lr210222163243316,,"149,252,739",1,50,39
qialrhzxwv210222094716280,,"149,246,182",1,50,82
xjr3zmlqo6210222091740413,,"149,244,920",1,20,20
gse9vkauk3210222090820942,,"149,240,323",1,50,23
50h9xuwstd210222082914993,,"149,240,056",1,200,56
irkjjkhftz210221230658299,,"149,229,689",1,399,89
3tf9zdn2zc210221214830526,,"149,224,902",1,20,2
ceb44ohzqy210222120448681,,"149,220,395",1,200,95
o3sddhmo2k210221201420127,,"149,217,301",1,30,1
hthbnjeuk2210221190020537,,"149,212,586",1,50,86
8p7jme40a9210222152949856,,"149,210,293",1,200,93
2d7fhmrp0t210222182614401,,"149,205,639",1,200,39
r3o9sh6lh7210221162646043,,"149,203,856",1,258,56
8v4wmxoc6w210221140147739,,"149,194,656",1,200,56
1wamuhdx4x210221172710381,,"149,187,546",1,20,46
wpbuo44h85210222145411747,,"149,184,875",1,180,75
w76hxxzgq6210221111230081,,"149,183,458",1,200,58
g3zpukefaj210221122237555,,"149,183,185",1,260,85
y2d2kavzxy210221120343305,,"149,183,185",1,120,85
dixo9mbiyn210221093302189,,"149,175,211",1,150,11
01nuiajycs210221024630076,,"149,166,544",1,800,44
jinojbcjnx210220220204610,,"149,156,753",1,300,53
tzr38m7k4x210221214753140,,"149,156,721",1,199,21
ib3cdiaeuu210221140051841,,"149,149,438",1,100,38
twsp91wjmz210221154429759,,"149,144,782",1,300,82
uqmz2dafow210221215122528,,"149,140,166",1,20,66
px1qd6rfb4210220175955931,,"149,138,831",1,200,31
opobcnj0bk210220144201663,,"149,127,134",1,30,34
qobd4b2h7q210220134546113,,"149,123,497",1,25,97
gsi8sldslt210220141136399,,"149,121,091",1,15,91
vpys2njdfz210220130006224,,"149,120,251",1,258,51
wcfpdmf03k210220130814758,,"149,120,192",1,20,92
lti4k4w1ja210220135341135,,"149,119,944",1,60,44
5023lda92g210220124559308,,"149,118,907",1,128,7
ccudw7a4nm210220123611852,,"149,118,630",1,120,30
151gf7emqx210220121457122,,"149,117,248",1,30,48
mvzig6hb01210220115020543,,"149,115,545",1,30,45
2hrb2uv9v4210220120639823,,"149,114,865",1,200,65
nca3mj5dwl210221191522538,,"149,114,473",1,20,73
e5kbr8en9m210220113455901,,"149,113,523",1,200,23
bnmpcf3k8g210220122507918,,"149,108,955",1,100,55
ee0h6bjqyh210220102353736,,"149,104,324",1,60,24
7qmjoet097210220152846845,,"149,100,243",1,40,43
3jfb8fz377210220064901801,,"149,095,629",1,40,29
7eclbpntjt210220130345582,,"149,087,081",1,20,81
e1okkqtof6210220204102665,,"149,087,081",1,25,81
flfpurqfxh210220200719632,,"149,087,081",1,10,81
leqxs6bw16210220102012447,,"149,085,849",1,80,49
7w5x1pvboa210219211748684,,"149,081,374",1,40,74
5xdoe6iwkc210219213005974,,"149,081,103",1,59,3
gydlpiixjw210220084010593,,"149,079,570",1,200,70
y3wdni9ocv210219210341363,,"149,079,452",1,199,52
28cwaigtkd210220105327474,,"149,076,005",1,30,5
gf47jqh72j210219204836816,,"149,075,311",1,100,11
krfu3mrjq7210219204159142,,"149,075,311",1,100,11
nmcnbxjqcr210219200238966,,"149,073,582",1,120,82
rfxk3q375a210219181158900,,"149,068,065",1,30,65
3nmqv5q9p9210219174301172,,"149,065,828",1,50,28
