expert_id,consult_rank_v3,consult_rank_v3b
126708465036593000,61,60
126707966549460000,76,77
125619188229336000,10,10
125618817352875000,49,51
126708557198193000,66,59
125619192447666000,40,41
129170092976949000,60,57
125618926278432000,84,80
DD5E1CC4E1301016E0400A0AC8642080000,2,2
129256436305243000,109,105
125749705167743000,2,2
125749778123135000,65,62
125749634532111000,2,2
129039760217246000,0,0
b81e3fe3-ef66-446d-a608-2b5c01d49d86000,20,20
71fcd257-cdbd-4092-99a9-cfa33921cb5a000,20,20
96bbb48c-93dd-429e-9f93-f4322d5335c2000,21,19
9536dcb7-c720-11e1-913c-5cf9dd2e7135000,10,10
